"pair","carrier","dist","pass","port1","port2","carrier_name","Hubs","city1","city2","nsmiles","passengers_sum","fare","ppm","income"
"DEN-SAN","F9",853,228714,"DEN","SAN","Frontier",0,"Denver, CO","San Diego, CA",853,5310,108.871555555556,0.127633711085059,578107.96
"DEN-MCI","UA",533,228375,"DEN","MCI","United",1,"Denver, CO","Kansas City, MO",533,2793,154.919194414608,0.290655148995512,432689.31
"LAS-MKE","WN",1524,228023,"LAS","MKE","Southwest",1,"Las Vegas, NV","Milwaukee, WI",1524,2108,207.411712523719,0.136096924228162,437223.89
"LGA-ORD","DL",733,227971,"LGA","ORD","Delta",1,"New York City, NY","Chicago, IL",773,19937,182.451331482409,0.24891041129933,3637532.19576479
"MCO-PHL","WN",861,227611,"MCO","PHL","Southwest",1,"Orlando, FL","Philadelphia, PA",861,9206,125.913136935663,0.146240577161049,1159156.33862971
"HOU-OKC","WN",419,227256,"HOU","OKC","Southwest",1,"Houston, TX","Oklahoma City, OK",419,1306,158.228468606432,0.377633576626329,206646.38
"LAS-PDX","WN",763,227020,"LAS","PDX","Southwest",1,"Las Vegas, NV","Portland, OR",763,5069,151.827722514404,0.198987840779035,769614.725425513
"LAX-MCO","UA",2218,226491,"LAX","MCO","United",1,"Los Angeles, CA","Orlando, FL",2218,9624,179.279928304239,0.0808295438702612,1725390.03
"BNA-DTW","DL",456,225647,"BNA","DTW","Delta",1,"Nashville, TN","Detroit, MI",456,2193,180.379069767442,0.395568135454916,395571.3
"PHX-SFO","WN",651,224186,"PHX","SFO","Southwest",1,"Phoenix, AZ","San Francisco, CA",668,9300,138.731543010753,0.213105288803,1290203.35
"LAX-SLC","OO",590,223462,"LAX","SLC","Skywest",1,"Los Angeles, CA","Salt Lake City, UT",590,11183,124.764555522636,0.21146534834345,1395242.02440963
"ABQ-LAS","WN",486,223035,"ABQ","LAS","Southwest",1,"Albuquerque, NM","Las Vegas, NV",486,1242,175.883252818035,0.361899697156451,218447
"DEN-MSY","WN",1062,222614,"DEN","MSY","Southwest",1,"Denver, CO","New Orleans, LA",1062,2509,155.293168593065,0.146227089070683,389630.56
"BNA-DCA","WN",562,222533,"BNA","DCA","Southwest",0,"Nashville, TN","Washington, DC",587,4309,163.566089579949,0.291042864021261,704806.28
"DEN-PHL","UA",1558,221948,"DEN","PHL","United",1,"Denver, CO","Philadelphia, PA",1558,4306,215.127018114259,0.138078958995032,926336.94
"MIA-ORD","UA",1197,221726,"MIA","ORD","United",1,"Miami, FL","Chicago, IL",1197,15356,141.158657177958,0.117927031894701,2167632.33962472
"BOS-MCO","NK",1121,221413,"BOS","MCO","Spirit",1,"Boston, MA","Orlando, FL",1142,13619,153.115004957803,0.136587872397683,2085273.25252031
"LGA-PBI","DL",1035,221084,"LGA","PBI","Delta",1,"New York City, NY","West Palm Beach/Palm Beach, FL",1066.5,15700,200.988496619606,0.194191784173532,3155519.39692781
"IAD-TPA","UA",811,220999,"IAD","TPA","United",1,"Washington, DC","Tampa, FL",844,7281,169.501198945761,0.209002711400445,1234138.22952409
"CLE-DFW","AA",1021,220771,"CLE","DFW","American",1,"Cleveland, OH","Dallas/Fort Worth, TX",1023,1406,258.343122332859,0.253029502774593,363230.43
"ATL-LAS","NK",1747,220599,"ATL","LAS","Spirit",1,"Atlanta, GA","Las Vegas, NV",1747,9095,158.760880491093,0.0908762910653078,1443930.20806649
"STL-TPA","WN",869,218988,"STL","TPA","Southwest",0,"St. Louis, MO","Tampa, FL",869,1775,169.692535211268,0.195273343166016,301204.25
"HOU-STL","WN",687,218885,"HOU","STL","Southwest",1,"Houston, TX","St. Louis, MO",687,2135,169.67906323185,0.246985535999782,362264.8
"SEA-SLC","AS",689,218872,"SEA","SLC","Alaska",1,"Seattle, WA","Salt Lake City, UT",689,3951,155.664738041002,0.225928502236578,615031.38
"MKE-PHX","WN",1460,218807,"MKE","PHX","Southwest",1,"Milwaukee, WI","Phoenix, AZ",1460,2485,210.057352112676,0.143874898707312,521992.52
"AUS-LAX","DL",1242,218667,"AUS","LAX","Delta",1,"Austin, TX","Los Angeles, CA",1242,8207,162.599243328866,0.130917265160117,1334451.99
"BOS-SFO","UA",2704,217912,"BOS","SFO","United",1,"Boston, MA","San Francisco, CA",2704,7381,336.437988077496,0.124422332868897,2483248.79
"DTW-SAN","DL",1956,217119,"DTW","SAN","Delta",1,"Detroit, MI","San Diego, CA",1956,1655,300.701498489426,0.153732872438357,497660.98
"JFK-PHX","AA",2153,216927,"JFK","PHX","American",1,"New York City, NY","Phoenix, AZ",2189,9228,258.128809347413,0.119892619297451,2382012.65265793
"CMH-MDW","WN",283,216219,"CMH","MDW","Southwest",1,"Columbus, OH","Chicago, IL",296,1665,146.287195195195,0.516915884081962,243568.18
"LAS-PDX","AS",763,216137,"LAS","PDX","Alaska",1,"Las Vegas, NV","Portland, OR",763,5069,178.69565989347,0.234201389113329,905808.3
"DEN-SFO","WN",967,215828,"DEN","SFO","Southwest",1,"Denver, CO","San Francisco, CA",967,8336,162.958661228407,0.168519815127618,1358423.4
"LAS-PDX","NK",763,214593,"LAS","PDX","Spirit",1,"Las Vegas, NV","Portland, OR",763,5069,105.856573288617,0.138737317547336,536586.97
"DFW-RIC","AA",1158,213776,"DFW","RIC","American",1,"Dallas/Fort Worth, TX","Richmond, VA",1158,945,243.513153439153,0.210287697270426,230119.93
"DTW-MDW","WN",228,213556,"DTW","MDW","Southwest",1,"Detroit, MI","Chicago, IL",235,1822,138.561536772777,0.607726038477093,252459.12
"DEN-DFW","F9",641,213292,"DEN","DFW","Frontier",0,"Denver, CO","Dallas/Fort Worth, TX",651,9649,128.768937319904,0.200887577722158,1242491.47619975
"SEA-SMF","WN",605,213031,"SEA","SMF","Southwest",0,"Seattle, WA","Sacramento, CA",605,4380,117.460821917808,0.19415011887241,514478.4
"DFW-LGA","DL",1389,211542,"DFW","LGA","Delta",1,"Dallas/Fort Worth, TX","New York City, NY",1428,13442,158.016644002997,0.113762882651546,2124059.72868829
"JFK-TPA","B6",1005,211215,"JFK","TPA","Jetblue",1,"New York City, NY","Tampa, FL",1055,15515,146.491838865614,0.14576302374688,2272820.88
"ORD-SLC","DL",1250,211178,"ORD","SLC","Delta",1,"Chicago, IL","Salt Lake City, UT",1259,2940,206.330176870748,0.165064141496599,606610.72
"BOS-JFK","B6",187,210875,"BOS","JFK","Jetblue",1,"Boston, MA","New York City, NY",206,4651,131.875400989035,0.705216048069704,613352.49
"DEN-PHL","WN",1558,210626,"DEN","PHL","Southwest",1,"Denver, CO","Philadelphia, PA",1558,4306,195.805900928072,0.125677728451908,843140.20939628
"DCA-LAX","AA",2311,210105,"DCA","LAX","American",1,"Washington, DC","Los Angeles, CA",2329,13750,241.578255972785,0.10453407874201,3321701.01962579
"ORD-SMF","UA",1781,209074,"ORD","SMF","United",1,"Chicago, IL","Sacramento, CA",1790,1608,274.428544776119,0.154086774158405,441281.1
"MDW-PHL","WN",668,208800,"MDW","PHL","Southwest",1,"Chicago, IL","Philadelphia, PA",678,5295,167.738279508971,0.251105208845765,888174.19
"SAN-SFO","OO",447,208546,"SAN","SFO","Skywest",1,"San Diego, CA","San Francisco, CA",447,14074,155.156023082286,0.347105197052094,2183665.8688601
"GEG-SEA","OO",224,208199,"GEG","SEA","Skywest",1,"Spokane, WA","Seattle, WA",224,2240,136.808893414792,0.610753988458891,306451.921249133
"RSW-STL","WN",979,206667,"RSW","STL","Southwest",0,"Fort Myers, FL","St. Louis, MO",979,1600,185.5563875,0.189536657303371,296890.22
"MIA-MSY","AA",675,205875,"MIA","MSY","American",1,"Miami, FL","New Orleans, LA",675,3457,146.141608330923,0.216506086416182,505211.54
"MDW-MSY","WN",825,205737,"MDW","MSY","Southwest",1,"Chicago, IL","New Orleans, LA",836,3380,135.069195266272,0.163720236686391,456533.88
"MDW-PIT","WN",402,204683,"MDW","PIT","Southwest",1,"Chicago, IL","Pittsburgh, PA",413,1759,142.010852757248,0.353260827754349,249797.09
"AUS-SLC","DL",1086,204589,"AUS","SLC","Delta",1,"Austin, TX","Salt Lake City, UT",1086,1470,219.030129251701,0.201685201889227,321974.29
"DTW-TPA","NK",983,204291,"DTW","TPA","Spirit",1,"Detroit, MI","Tampa, FL",983,4627,100.186589582883,0.101919216259291,463563.35
"JFK-LAS","B6",2248,203140,"JFK","LAS","Jetblue",1,"New York City, NY","Las Vegas, NV",2282,11742,243.785265127817,0.108445402636929,2862526.58313083
"PSP-SFO","OO",421,202526,"PSP","SFO","Skywest",1,"Palm Springs, CA","San Francisco, CA",421,2138,192.243996831382,0.456636572046038,411017.665225495
"ATL-LAX","NK",1947,202189,"ATL","LAX","Spirit",1,"Atlanta, GA","Los Angeles, CA",1947,12216,126.929020956123,0.0651921011587689,1550564.92
"BOS-SEA","DL",2496,201607,"BOS","SEA","Delta",1,"Boston, MA","Seattle, WA",2496,3548,278.652645494668,0.111639681688569,988659.586215083
"IAH-PDX","UA",1825,201279,"IAH","PDX","United",1,"Houston, TX","Portland, OR",1843,1131,289.127807250221,0.158426195753546,327003.55
"LAX-SFO","WN",337,200665,"LAX","SFO","Southwest",1,"Los Angeles, CA","San Francisco, CA",372,35228,129.311028443284,0.383712250573542,4555368.91
"IND-TPA","WN",837,199871,"IND","TPA","Southwest",0,"Indianapolis, IN","Tampa, FL",840,3035,153.014757825371,0.18281333073521,464399.79
"DEN-GEG","WN",836,199863,"DEN","GEG","Southwest",1,"Denver, CO","Spokane, WA",836,667,172.242743628186,0.206031989985868,114885.91
"BOS-LAX","AA",2611,199619,"BOS","LAX","American",1,"Boston, MA","Los Angeles, CA",2611,9848,282.291854183591,0.108116374639445,2780010.18
"MCO-RDU","DL",534,199048,"MCO","RDU","Delta",0,"Orlando, FL","Raleigh/Durham, NC",534,3103,134.769967773123,0.252378216803601,418191.21
"JFK-RSW","B6",1074,198718,"JFK","RSW","Jetblue",1,"New York City, NY","Fort Myers, FL",1120,9366,165.20377108691,0.1538210159096,1547298.52
"PDX-SMF","WN",479,198691,"PDX","SMF","Southwest",0,"Portland, OR","Sacramento, CA",479,2340,147.230423076923,0.307370403083347,344519.19
"AUS-ORD","UA",977,197923,"AUS","ORD","United",1,"Austin, TX","Chicago, IL",977,4788,179.45144732727,0.183675995217267,859213.529802967
"CLE-MCO","NK",895,197205,"CLE","MCO","Spirit",1,"Cleveland, OH","Orlando, FL",895,3259,88.3516017183185,0.0987168734282888,287937.87
"ATL-LAS","WN",1747,197068,"ATL","LAS","Southwest",1,"Atlanta, GA","Las Vegas, NV",1747,9095,122.544383727323,0.0701456117500416,1114541.17
"LAS-SEA","NK",867,196934,"LAS","SEA","Spirit",1,"Las Vegas, NV","Seattle, WA",867,9626,129.811275200482,0.149724654210475,1249563.33507984
"MDW-MIA","WN",1182,196847,"MDW","MIA","Southwest",1,"Chicago, IL","Miami, FL",1197,15356,126.588098463141,0.107096530002658,1943886.84
"LGA-MCO","B6",950,196779,"LGA","MCO","Jetblue",1,"New York City, NY","Orlando, FL",984.75,33628,149.676715832045,0.157554437717942,5033328.6
"LGA-ORD","UA",733,196357,"LGA","ORD","United",1,"New York City, NY","Chicago, IL",773,19937,189.500903345538,0.258527835396369,3778079.51
"MDW-RDU","WN",632,195975,"MDW","RDU","Southwest",1,"Chicago, IL","Raleigh/Durham, NC",646,3164,153.544895701643,0.242950784338044,485816.05
"IAD-SAN","UA",2253,195855,"IAD","SAN","United",1,"Washington, DC","San Diego, CA",2295,4255,313.739052878966,0.139253907181077,1334959.67
"BOI-DEN","UA",649,195068,"BOI","DEN","United",1,"Boise, ID","Denver, CO",649,1068,186.360667460942,0.287150489153994,199033.192848286
"BNA-ECP","WN",401,194803,"BNA","ECP","Southwest",0,"Nashville, TN","Panama City, FL",401,590,153.559457627119,0.382941290840695,90600.08
"SEA-TPA","AS",2520,194496,"SEA","TPA","Alaska",1,"Seattle, WA","Tampa, FL",2520,2132,217.641416510319,0.0863656414723488,464011.5
"AUS-ORD","AA",977,194334,"AUS","ORD","American",1,"Austin, TX","Chicago, IL",977,4788,179.45144732727,0.183675995217267,859213.529802967
"LAS-SMF","NK",397,193650,"LAS","SMF","Spirit",1,"Las Vegas, NV","Sacramento, CA",397,4416,98.8310892210145,0.248944809120943,436438.09
"DEN-TUS","WN",639,192751,"DEN","TUS","Southwest",1,"Denver, CO","Tucson, AZ",639,1094,164.864926873857,0.258004580397273,180362.23
"LAS-SFO","F9",414,191864,"LAS","SFO","Frontier",1,"Las Vegas, NV","San Francisco, CA",414,13618,135.118940016981,0.326374251248747,1840049.72515125
"ATL-MCO","F9",404,191356,"ATL","MCO","Frontier",1,"Atlanta, GA","Orlando, FL",404,6539,90.2398575904768,0.223365984134844,590078.428784128
"LAS-TUS","WN",365,189849,"LAS","TUS","Southwest",1,"Las Vegas, NV","Tucson, AZ",365,519,152.466820809249,0.417717317285613,79130.28
"MIA-RDU","AA",700,189820,"MIA","RDU","American",1,"Miami, FL","Raleigh/Durham, NC",700,3995,135.654220275344,0.193791743250492,541938.61
"DTW-MIA","DL",1145,189613,"DTW","MIA","Delta",1,"Detroit, MI","Miami, FL",1145,7714,185.445268343272,0.161960933050893,1430524.8
"DEN-GEG","UA",836,189562,"DEN","GEG","United",1,"Denver, CO","Spokane, WA",836,667,194.723042063425,0.232922299118929,129880.269056304
"ATL-DEN","F9",1199,188162,"ATL","DEN","Frontier",1,"Atlanta, GA","Denver, CO",1199,6912,151.451566821559,0.126314901435829,1046833.22987061
"ATL-SEA","AS",2182,188018,"ATL","SEA","Alaska",1,"Atlanta, GA","Seattle, WA",2182,3354,223.088497316637,0.102240374572244,748238.82
"DCA-SEA","AS",2329,187773,"DCA","SEA","Alaska",1,"Washington, DC","Seattle, WA",2335,4993,249.206555177248,0.107001526482288,1244288.33
"BNA-MIA","AA",806,187621,"BNA","MIA","American",1,"Nashville, TN","Miami, FL",806,4524,137.155386966282,0.170167973903576,620490.970635461
"DEN-LGA","WN",1620,185991,"DEN","LGA","Southwest",1,"Denver, CO","New York City, NY",1659,10703,213.966531079138,0.132078105604406,2290083.78214001
"BOI-SEA","AS",399,185974,"BOI","SEA","Alaska",1,"Boise, ID","Seattle, WA",399,2607,115.346440352896,0.289088822939589,300708.17
"MCI-SLC","DL",920,185808,"MCI","SLC","Delta",1,"Kansas City, MO","Salt Lake City, UT",920,550,225.450018181818,0.245054367588933,123997.51
"BOI-LAS","WN",519,185435,"BOI","LAS","Southwest",1,"Boise, ID","Las Vegas, NV",519,1133,146.618826125331,0.28250255515478,166119.13
"DCA-MCO","WN",759,185277,"DCA","MCO","Southwest",1,"Washington, DC","Orlando, FL",787,13129,153.179060095971,0.201816943472952,2011087.88
"CVG-MCO","DL",757,185209,"CVG","MCO","Delta",0,"Cincinnati, OH","Orlando, FL",757,2668,164.169823838081,0.216868987897069,438005.09
"AUS-DTW","DL",1149,184347,"AUS","DTW","Delta",1,"Austin, TX","Detroit, MI",1149,1411,212.668476257973,0.185090057665773,300075.22
"BDL-MCO","B6",1050,184161,"BDL","MCO","Jetblue",1,"Hartford, CT","Orlando, FL",1050,4124,171.024679922405,0.162880647545148,705305.78
"IND-LAS","WN",1590,183999,"IND","LAS","Southwest",1,"Indianapolis, IN","Las Vegas, NV",1590,2561,217.820558375635,0.136994061871468,557838.45
"ELP-HOU","WN",677,183837,"ELP","HOU","Southwest",1,"El Paso, TX","Houston, TX",677,1284,173.627803738318,0.256466475241237,222938.1
"CVG-MCO","F9",757,183386,"CVG","MCO","Frontier",1,"Cincinnati, OH","Orlando, FL",757,2668,84.8560232383808,0.11209514298333,226395.87
"IND-RSW","WN",945,183144,"IND","RSW","Southwest",0,"Indianapolis, IN","Fort Myers, FL",945,2404,180.135274542429,0.190619338140137,433045.2
"BZN-DEN","UA",524,182686,"BZN","DEN","United",1,"Bozeman, MT","Denver, CO",524,631,145.020079239303,0.276755876410883,91507.67
"DFW-PNS","AA",604,182448,"DFW","PNS","American",1,"Dallas/Fort Worth, TX","Pensacola, FL",604,1086,167.574714548803,0.277441580378813,181986.14
"LAX-MCO","AA",2218,181966,"LAX","MCO","American",1,"Los Angeles, CA","Orlando, FL",2218,9624,171.088623829589,0.0771364399592377,1646556.91573597
"BOI-LAX","OO",674,181764,"BOI","LAX","Skywest",1,"Boise, ID","Los Angeles, CA",688,3214,142.639006766722,0.211630573837866,458441.767748243
"CVG-DFW","AA",812,181523,"CVG","DFW","American",1,"Cincinnati, OH","Dallas/Fort Worth, TX",812,1426,196.333906030856,0.241790524668541,279972.15
"IAH-LGA","UA",1416,181372,"IAH","LGA","United",1,"Houston, TX","New York City, NY",1465,11136,219.781130567529,0.155212662830176,2447482.67
"PHL-RSW","AA",993,181331,"PHL","RSW","American",1,"Philadelphia, PA","Fort Myers, FL",993,2563,174.489445961764,0.17571948233813,447216.45
"CLE-RSW","F9",1025,181180,"CLE","RSW","Frontier",1,"Cleveland, OH","Fort Myers, FL",1025,2163,152.085003552602,0.148375613222051,328959.862684279
"BNA-SEA","AS",1978,180989,"BNA","SEA","Alaska",1,"Nashville, TN","Seattle, WA",1978,1731,226.182709416522,0.114349195862751,391522.27
"DEN-SFO","F9",967,180398,"DEN","SFO","Frontier",0,"Denver, CO","San Francisco, CA",967,8336,196.18710458747,0.202882217774012,1635415.70384115
"JFK-PHX","DL",2153,180145,"JFK","PHX","Delta",1,"New York City, NY","Phoenix, AZ",2189,9228,258.128809347413,0.119892619297451,2382012.65265793
"LAS-PHX","F9",255,180144,"LAS","PHX","Frontier",1,"Las Vegas, NV","Phoenix, AZ",276,4419,116.6212476453,0.45733822606,515349.293344581
"IAH-RSW","UA",861,180108,"IAH","RSW","United",1,"Houston, TX","Fort Myers, FL",861,261,186.59,0.2167131242741,48699.99
"BNA-LGA","WN",764,179707,"BNA","LGA","Southwest",0,"Nashville, TN","New York City, NY",803,6645,168.752697972893,0.220880494728917,1121361.67802987
"BOS-DEN","WN",1754,179623,"BOS","DEN","Southwest",1,"Boston, MA","Denver, CO",1754,5532,228.032725958062,0.130007255392282,1261477.04
"DEN-MSY","UA",1062,179458,"DEN","MSY","United",1,"Denver, CO","New Orleans, LA",1062,2509,170.23317529049,0.160294891987279,427115.036803841
"DEN-SLC","OO",391,179436,"DEN","SLC","Skywest",1,"Denver, CO","Salt Lake City, UT",391,3662,120.3174561478,0.307717279150382,440602.524413242
"BOS-LAS","B6",2381,179334,"BOS","LAS","Jetblue",1,"Boston, MA","Las Vegas, NV",2381,3733,291.124090543799,0.122269672634943,1086766.23
"DEN-IAH","F9",862,179312,"DEN","IAH","Frontier",0,"Denver, CO","Houston, TX",883,7787,154.688016685514,0.179452455551641,1204555.5859301
"BOS-TPA","DL",1185,178725,"BOS","TPA","Delta",1,"Boston, MA","Tampa, FL",1204,6936,175.495241796368,0.14809725046107,1217234.99709961
"BNA-MSY","WN",471,178343,"BNA","MSY","Southwest",0,"Nashville, TN","New Orleans, LA",471,633,157.740379146919,0.33490526358157,99849.66
"BNA-ORD","OO",409,177661,"BNA","ORD","Skywest",1,"Nashville, TN","Chicago, IL",409,4361,149.161889739621,0.364698996918388,650495.001154486
"ATL-DEN","UA",1199,177371,"ATL","DEN","United",1,"Atlanta, GA","Denver, CO",1199,6912,151.451566821559,0.126314901435829,1046833.22987061
"BNA-RDU","WN",442,177285,"BNA","RDU","Southwest",0,"Nashville, TN","Raleigh/Durham, NC",442,1259,157.339237490071,0.355971125543148,198090.1
"PDX-SEA","OO",129,176902,"PDX","SEA","Skywest",1,"Portland, OR","Seattle, WA",129,603,158.200108151433,1.22635742753049,95394.665215314
"ORD-TPA","NK",1011,176749,"ORD","TPA","Spirit",1,"Chicago, IL","Tampa, FL",1011,8203,129.165038400585,0.127759681899689,1059540.81
"CMH-DEN","WN",1154,176690,"CMH","DEN","Southwest",1,"Columbus, OH","Denver, CO",1154,1513,192.707825512227,0.166991183286159,291566.94
"JFK-SAN","DL",2446,176351,"JFK","SAN","Delta",1,"New York City, NY","San Diego, CA",2481,6994,283.45291628618,0.115884266674644,1982469.69650555
"IAH-SLC","DL",1195,176093,"IAH","SLC","Delta",1,"Houston, TX","Salt Lake City, UT",1214,2417,231.791667617547,0.193967922692508,560240.460631611
"CLT-SLC","AA",1727,175713,"CLT","SLC","American",1,"Charlotte, NC","Salt Lake City, UT",1727,863,254.245724217845,0.147218137937374,219414.06
"DEN-RSW","UA",1607,175532,"DEN","RSW","United",1,"Denver, CO","Fort Myers, FL",1607,2022,232.192591493571,0.144488233661214,469493.42
"BDL-MIA","AA",1194,175297,"BDL","MIA","American",1,"Hartford, CT","Miami, FL",1194,3370,149.238458745099,0.12499033395737,502933.605970984
"PDX-PHX","AS",1009,174993,"PDX","PHX","Alaska",1,"Portland, OR","Phoenix, AZ",1009,5499,186.459023458811,0.184795860712399,1025338.17
"PBI-PHL","AA",951,174770,"PBI","PHL","American",1,"West Palm Beach/Palm Beach, FL","Philadelphia, PA",951,2077,197.03805007222,0.207190378624837,409248.03
"ATL-MSY","WN",425,174508,"ATL","MSY","Southwest",1,"Atlanta, GA","New Orleans, LA",425,2966,121.445900202293,0.285755059299512,360208.54
"MDW-SLC","WN",1259,174400,"MDW","SLC","Southwest",1,"Chicago, IL","Salt Lake City, UT",1259,2940,182.603962585034,0.145038890059598,536855.65
"LAS-SAN","F9",258,174143,"LAS","SAN","Frontier",1,"Las Vegas, NV","San Diego, CA",258,3665,88.5113697135061,0.343067324470954,324394.17
"PDX-SFO","AS",550,173594,"PDX","SFO","Alaska",1,"Portland, OR","San Francisco, CA",569,6920,151.973832369942,0.27631605885444,1051658.92
"AUS-SFO","UA",1504,173590,"AUS","SFO","United",1,"Austin, TX","San Francisco, CA",1504,5175,213.421476591243,0.141902577520773,1104456.14135968
"IND-PHX","WN",1488,173434,"IND","PHX","Southwest",1,"Indianapolis, IN","Phoenix, AZ",1488,2116,227.53595463138,0.15291394800496,481466.08
"DEN-PIT","UA",1290,173242,"DEN","PIT","United",1,"Denver, CO","Pittsburgh, PA",1290,1559,225.901651319144,0.175117559162127,352180.674406546
"MCO-SFO","UA",2446,172852,"MCO","SFO","United",1,"Orlando, FL","San Francisco, CA",2446,3691,265.561479273909,0.108569697168401,980187.42
"BNA-LAX","WN",1797,172441,"BNA","LAX","Southwest",1,"Nashville, TN","Los Angeles, CA",1797,6430,200.122779160187,0.11136492997228,1286789.47
"MCO-MSY","NK",551,172312,"MCO","MSY","Spirit",1,"Orlando, FL","New Orleans, LA",551,2532,87.1629857819905,0.15819053680942,220696.68
"BOI-SEA","OO",399,172134,"BOI","SEA","Skywest",1,"Boise, ID","Seattle, WA",399,2607,125.214790197747,0.313821529317663,326434.958045528
"DEN-LAS","NK",628,171419,"DEN","LAS","Spirit",1,"Denver, CO","Las Vegas, NV",628,6477,158.406619921645,0.252239840639562,1025999.67723249
"GEG-LAS","WN",806,171179,"GEG","LAS","Southwest",1,"Spokane, WA","Las Vegas, NV",806,1494,156.739578313253,0.194465978056145,234168.93
"MCO-PIT","NK",834,170922,"MCO","PIT","Spirit",1,"Orlando, FL","Pittsburgh, PA",834,3332,88.3009303721489,0.105876415314327,294218.7
"CLT-DTW","DL",500,170500,"CLT","DTW","Delta",1,"Charlotte, NC","Detroit, MI",500,1583,166.695060012634,0.333390120025268,263878.28
"OKC-ORD","OO",693,169946,"OKC","ORD","Skywest",1,"Oklahoma City, OK","Chicago, IL",693,616,190.632698186645,0.275083258566587,117429.742082973
"OKC-PHX","WN",833,169824,"OKC","PHX","Southwest",1,"Oklahoma City, OK","Phoenix, AZ",833,895,189.620737430168,0.227635939291918,169710.56
"ATL-STL","WN",484,169797,"ATL","STL","Southwest",1,"Atlanta, GA","St. Louis, MO",484,2547,135.14241067923,0.27921985677527,344207.72
"BOS-SAN","B6",2588,169460,"BOS","SAN","Jetblue",1,"Boston, MA","San Diego, CA",2588,3520,338.194803977273,0.130678054087045,1190445.71
"ORD-RSW","NK",1120,169159,"ORD","RSW","Spirit",1,"Chicago, IL","Fort Myers, FL",1120,7690,167.257576791262,0.149337122135055,1286210.7655248
"IAD-LAS","UA",2065,169076,"IAD","LAS","United",1,"Washington, DC","Las Vegas, NV",2106,6702,278.824755349487,0.135024094600236,1868683.51035226
"HOU-SAN","WN",1313,168752,"HOU","SAN","Southwest",1,"Houston, TX","San Diego, CA",1313,2777,196.713424558876,0.149819820684597,546273.18
"BOI-DEN","WN",649,168709,"BOI","DEN","Southwest",1,"Boise, ID","Denver, CO",649,1068,162.852471910112,0.250928308027908,173926.44
"DTW-RDU","DL",501,168662,"DTW","RDU","Delta",1,"Detroit, MI","Raleigh/Durham, NC",501,1099,194.234567788899,0.387693748081635,213463.79
"DFW-LAX","DL",1235,168368,"DFW","LAX","Delta",1,"Dallas/Fort Worth, TX","Los Angeles, CA",1246,18997,137.215033082442,0.111105289945297,2606673.98346714
"ATL-PHL","F9",666,168071,"ATL","PHL","Frontier",1,"Atlanta, GA","Philadelphia, PA",666,6207,124.451504899794,0.186864121471162,772470.49091302
"MDW-SDF","WN",271,168020,"MDW","SDF","Southwest",1,"Chicago, IL","Louisville, KY",286,588,133.323928571429,0.491970216130733,78394.47
"ABQ-LAX","OO",677,167910,"ABQ","LAX","Skywest",1,"Albuquerque, NM","Los Angeles, CA",677,2071,189.077031905004,0.27928660547268,391578.533075264
"LAS-SAN","NK",258,167249,"LAS","SAN","Spirit",1,"Las Vegas, NV","San Diego, CA",258,3665,97.5709437653179,0.378181952578751,357597.50889989
"BNA-JAX","WN",483,167114,"BNA","JAX","Southwest",0,"Nashville, TN","Jacksonville, FL",483,983,146.245951169888,0.302786648384861,143759.77
"PHL-SAN","AA",2370,166392,"PHL","SAN","American",1,"Philadelphia, PA","San Diego, CA",2370,1639,312.494917632703,0.131854395625613,512179.17
"BNA-PHL","WN",675,165647,"BNA","PHL","Southwest",0,"Nashville, TN","Philadelphia, PA",675,2215,166.817214446953,0.247136613995485,369500.13
"BUF-MCO","WN",1011,164633,"BUF","MCO","Southwest",1,"Buffalo, NY","Orlando, FL",1011,2557,163.722913570591,0.161941556449644,418639.49
"ATL-MIA","F9",594,164344,"ATL","MIA","Frontier",1,"Atlanta, GA","Miami, FL",594,15456,113.407449550106,0.190921632239236,1752825.54024644
"PHL-TPA","F9",920,163960,"PHL","TPA","Frontier",1,"Philadelphia, PA","Tampa, FL",920,4251,147.77578756222,0.160625856045891,628194.872926996
"IAH-SMF","UA",1609,163020,"IAH","SMF","United",1,"Houston, TX","Sacramento, CA",1624,1152,279.888506944444,0.173951837752918,322431.56
"ATL-LAS","F9",1747,162785,"ATL","LAS","Frontier",1,"Atlanta, GA","Las Vegas, NV",1747,9095,158.760880491093,0.0908762910653078,1443930.20806649
"BNA-ORD","WN",409,162766,"BNA","ORD","Southwest",0,"Nashville, TN","Chicago, IL",409,4361,131.167961476726,0.320704062290282,572023.48
"BUF-MDW","WN",468,162726,"BUF","MDW","Southwest",1,"Buffalo, NY","Chicago, IL",473,623,148.06,0.316367521367521,92241.38
"BNA-BOS","WN",942,162709,"BNA","BOS","Southwest",0,"Nashville, TN","Boston, MA",942,2987,211.343598928691,0.224356262132368,631283.33
"MCI-SEA","AS",1489,162494,"MCI","SEA","Alaska",1,"Kansas City, MO","Seattle, WA",1489,1328,203.556280120482,0.136706702565804,270322.74
"ATL-PHX","WN",1587,162388,"ATL","PHX","Southwest",1,"Atlanta, GA","Phoenix, AZ",1587,4063,192.351314299778,0.121204356836659,781523.39
"PHL-SFO","AA",2521,162182,"PHL","SFO","American",1,"Philadelphia, PA","San Francisco, CA",2521,2628,341.61799086758,0.135508921407211,897772.08
"BNA-CLE","WN",448,161678,"BNA","CLE","Southwest",0,"Nashville, TN","Cleveland, OH",448,888,158.228772522523,0.353189224380631,140507.15
