"pair","carrier","dist","pass","port1","port2","carrier_name","Hubs","city1","city2","nsmiles","passengers_sum","fare","ppm","income"
"JFK-SEA","DL",2422,312914,"JFK","SEA","Delta",1,"New York City, NY","Seattle, WA",2441.5,7118,281.517447681664,0.116233463122074,2003841.19259808
"LAX-SMF","OO",373,311327,"LAX","SMF","Skywest",1,"Los Angeles, CA","Sacramento, CA",404,12519,141.155926964148,0.378434120547313,1767131.04966417
"BOS-SFO","B6",2704,310899,"BOS","SFO","Jetblue",1,"Boston, MA","San Francisco, CA",2704,7381,381.906255249966,0.14123752043268,2818850.07
"BOS-TPA","B6",1185,310372,"BOS","TPA","Jetblue",1,"Boston, MA","Tampa, FL",1204,6936,181.344173875433,0.153033058122728,1257803.19
"IAH-LAS","NK",1222,310036,"IAH","LAS","Spirit",1,"Houston, TX","Las Vegas, NV",1235,7529,109.192996413866,0.0893559708787777,822114.07
"PSP-SEA","AS",987,309686,"PSP","SEA","Alaska",1,"Palm Springs, CA","Seattle, WA",987,2733,161.475393340651,0.163602222229637,441312.25
"PHX-SEA","AA",1107,307519,"PHX","SEA","American",1,"Phoenix, AZ","Seattle, WA",1107,11004,145.28494546223,0.131242046488013,1598715.53986638
"DEN-ORD","WN",888,305879,"DEN","ORD","Southwest",1,"Denver, CO","Chicago, IL",895,10475,128.240050596659,0.144414471392634,1343314.53
"BOS-PHL","AA",280,305257,"BOS","PHL","American",1,"Boston, MA","Philadelphia, PA",289,3002,177.187438374417,0.632812279908632,531916.69
"IAH-MCO","NK",854,303985,"IAH","MCO","Spirit",1,"Houston, TX","Orlando, FL",854,6599,92.2192407940597,0.107985059477822,608554.77
"PHX-SEA","WN",1107,303643,"PHX","SEA","Southwest",1,"Phoenix, AZ","Seattle, WA",1107,11004,119.832224645583,0.108249525425098,1318633.8
"CLE-ORD","UA",315,303147,"CLE","ORD","United",1,"Cleveland, OH","Chicago, IL",343,2085,163.691050359712,0.519654128126071,341295.84
"IAD-IAH","UA",1190,302925,"IAD","IAH","United",1,"Washington, DC","Houston, TX",1246,6897,200.18353497215,0.16822145795979,1380665.84070292
"LAS-STL","WN",1371,302785,"LAS","STL","Southwest",1,"Las Vegas, NV","St. Louis, MO",1371,2774,206.971542898342,0.150963926256996,574139.06
"DEN-TPA","UA",1506,302772,"DEN","TPA","United",1,"Denver, CO","Tampa, FL",1506,4647,204.087019475436,0.135515949186877,948392.379502353
"SFO-SLC","DL",599,302768,"SFO","SLC","Delta",1,"San Francisco, CA","Salt Lake City, UT",599,4996,166.393506805444,0.277785487154331,831301.96
"AUS-PHX","WN",872,302650,"AUS","PHX","Southwest",1,"Austin, TX","Phoenix, AZ",872,2701,187.236538319141,0.214720800824703,505725.89
"LAS-LAX","OO",236,302532,"LAS","LAX","Skywest",1,"Las Vegas, NV","Los Angeles, CA",236,15680,116.934132527411,0.495483612404286,1833527.19802981
"JFK-SFO","B6",2586,301247,"JFK","SFO","Jetblue",1,"New York City, NY","San Francisco, CA",2619,19404,298.370720045011,0.115379242090105,5789585.45175339
"ORD-SEA","AA",1721,301220,"ORD","SEA","American",1,"Chicago, IL","Seattle, WA",1733,6104,174.261442383274,0.101255922360996,1063691.8443075
"LGA-MDW","WN",725,300026,"LGA","MDW","Southwest",1,"New York City, NY","Chicago, IL",773,19937,173.871261473642,0.239822429618817,3466471.34
"ATL-TPA","WN",406,299842,"ATL","TPA","Southwest",1,"Atlanta, GA","Tampa, FL",406,4837,115.468596237337,0.28440540945157,558521.6
"BOS-ORD","AA",867,297449,"BOS","ORD","American",1,"Boston, MA","Chicago, IL",867,9010,192.778385127636,0.222351078578588,1736933.25
"BNA-HOU","WN",670,297193,"BNA","HOU","Southwest",1,"Nashville, TN","Houston, TX",670,3059,154.902938868911,0.231198416222256,473848.09
"DFW-LAX","NK",1235,297153,"DFW","LAX","Spirit",1,"Dallas/Fort Worth, TX","Los Angeles, CA",1246,18997,137.215033082442,0.111105289945297,2606673.98346714
"BOS-PBI","B6",1197,297114,"BOS","PBI","Jetblue",1,"Boston, MA","West Palm Beach/Palm Beach, FL",1222,3631,200.453015698155,0.167462836840564,727844.9
"ORD-PDX","UA",1739,294119,"ORD","PDX","United",1,"Chicago, IL","Portland, OR",1751,2552,237.833919570174,0.136764761109933,606952.162743084
"JFK-PBI","B6",1028,293751,"JFK","PBI","Jetblue",1,"New York City, NY","West Palm Beach/Palm Beach, FL",1066.5,15700,185.588762420382,0.180533815584029,2913743.57
"LAS-ORD","NK",1514,293604,"LAS","ORD","Spirit",1,"Las Vegas, NV","Chicago, IL",1521,12315,111.870618757613,0.0738907653616993,1377686.67
"DFW-PIT","AA",1067,293603,"DFW","PIT","American",1,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,1539,237.373255360624,0.22246790568006,365317.44
"DEN-SAT","UA",794,292768,"DEN","SAT","United",1,"Denver, CO","San Antonio, TX",794,2544,151.978364779874,0.191408519873897,386632.96
