"pair","carrier","dist","pass","port1","port2","port1_lat","port1_lon","port2_lat","port2_lon","carrier_name","Color"
"ATL-ORD","NK",606,125353,"ATL","ORD",33.6367,-84.428101,41.9786,-87.9048,"Spirit","#FDEB03"
"ATL-MSN","DL",707,125294,"ATL","MSN",33.6367,-84.428101,43.1399,-89.337502,"Delta","#882537"
"OAK-SLC","OO",588,125111,"OAK","SLC",37.721298,-122.221001,40.785749,-111.979746,"Skywest","#37509A"
"BOI-SLC","OO",290,125049,"BOI","SLC",43.5644,-116.223,40.785749,-111.979746,"Skywest","#37509A"
"LAS-STL","F9",1371,124986,"LAS","STL",36.08010101,-115.1520004,38.748697,-90.370003,"Frontier","#418369"
"ISP-MCO","WN",971,124591,"ISP","MCO",40.79520035,-73.10019684,28.42939949,-81.30899811,"Southwest","#E6A137"
"MSY-TPA","WN",488,124550,"MSY","TPA",29.99340057,-90.25800323,27.97550011,-82.53320313,"Southwest","#E6A137"
"PSC-SLC","OO",521,124446,"PSC","SLC",46.26470184,-119.1190033,40.785749,-111.979746,"Skywest","#37509A"
"JFK-PHX","B6",2153,124098,"JFK","PHX",40.639801,-73.7789,33.435302,-112.005905,"Jetblue","#303E71"
"BWI-MYR","WN",399,124005,"BWI","MYR",39.1754,-76.668297,33.67969894,-78.92829895,"Southwest","#E6A137"
"DEN-TUS","OO",639,123977,"DEN","TUS",39.86169815,-104.6729965,32.115004,-110.938053,"Skywest","#37509A"
"BOS-DEN","B6",1754,123952,"BOS","DEN",42.3643,-71.005203,39.86169815,-104.6729965,"Jetblue","#303E71"
"LAS-LAX","UA",236,123941,"LAS","LAX",36.08010101,-115.1520004,33.942501,-118.407997,"United","#3782CC"
"CVG-RSW","F9",879,123921,"CVG","RSW",39.048801,-84.667801,26.53619957,-81.75520325,"Frontier","#418369"
"MDW-PDX","WN",1751,123887,"MDW","PDX",41.785999,-87.752403,45.58869934,-122.5979996,"Southwest","#E6A137"
"MIA-STL","AA",1068,123877,"MIA","STL",25.79319954,-80.29060364,38.748697,-90.370003,"American","#C42D31"
"BWI-MCO","F9",787,123783,"BWI","MCO",39.1754,-76.668297,28.42939949,-81.30899811,"Frontier","#418369"
"FAT-LAX","OO",209,123773,"FAT","LAX",36.776199,-119.718002,33.942501,-118.407997,"Skywest","#37509A"
"CLT-SLC","DL",1727,123671,"CLT","SLC",35.2140007,-80.94309998,40.785749,-111.979746,"Delta","#882537"
"MSP-PHX","WN",1276,123635,"MSP","PHX",44.882,-93.221802,33.435302,-112.005905,"Southwest","#E6A137"
"PHL-SEA","AS",2378,122807,"PHL","SEA",39.87189865,-75.2410965,47.449001,-122.308998,"Alaska","#202050"
"ATL-PWM","DL",1027,122693,"ATL","PWM",33.6367,-84.428101,43.646198,-70.309303,"Delta","#882537"
"ANC-SCC","AS",626,122664,"ANC","SCC",41.1744,-134.996002,50.19470215,-133.4649963,"Alaska","#202050"
"BNA-IAH","WN",657,122558,"BNA","IAH",36.12450027,-86.67819977,29.9843998,-95.34140015,"Southwest","#E6A137"
"IAH-MSP","OO",1034,122511,"IAH","MSP",29.9843998,-95.34140015,44.882,-93.221802,"Skywest","#37509A"
"CLT-MCO","NK",468,122191,"CLT","MCO",35.2140007,-80.94309998,28.42939949,-81.30899811,"Spirit","#FDEB03"
"MKE-ORD","OO",67,122083,"MKE","ORD",42.94720078,-87.89659882,41.9786,-87.9048,"Skywest","#37509A"
"LAS-MCO","WN",2039,121951,"LAS","MCO",36.08010101,-115.1520004,28.42939949,-81.30899811,"Southwest","#E6A137"
"MKE-TPA","WN",1075,121714,"MKE","TPA",42.94720078,-87.89659882,27.97550011,-82.53320313,"Southwest","#E6A137"
"ANC-JNU","AS",571,121671,"ANC","JNU",41.1744,-134.996002,38.35499954,-119.576004,"Alaska","#202050"
"MCI-ORD","UA",403,121657,"MCI","ORD",39.2976,-94.713898,41.9786,-87.9048,"United","#3782CC"
"CVG-DEN","F9",1069,121340,"CVG","DEN",39.048801,-84.667801,39.86169815,-104.6729965,"Frontier","#418369"
"BWI-SAV","WN",549,121220,"BWI","SAV",39.1754,-76.668297,32.12760162,-81.20210266,"Southwest","#E6A137"
"CHS-MDW","WN",745,121015,"CHS","MDW",32.898602,-80.040497,41.785999,-87.752403,"Southwest","#E6A137"
"DFW-JAC","AA",1047,120831,"DFW","JAC",32.896801,-97.038002,43.6072998,-110.737999,"American","#C42D31"
"DEN-ORD","F9",888,120777,"DEN","ORD",39.86169815,-104.6729965,41.9786,-87.9048,"Frontier","#418369"
"CLT-CMH","AA",347,120754,"CLT","CMH",35.2140007,-80.94309998,39.998001,-82.891899,"American","#C42D31"
"HOU-MCI","WN",666,120752,"HOU","MCI",29.645399,-95.2789,39.2976,-94.713898,"Southwest","#E6A137"
"AUS-MCO","NK",994,120679,"AUS","MCO",30.197535,-97.662015,28.42939949,-81.30899811,"Spirit","#FDEB03"
"DFW-IAD","AA",1172,120665,"DFW","IAD",32.896801,-97.038002,38.9445,-77.455803,"American","#C42D31"
"DTW-PHX","AA",1671,120531,"DTW","PHX",42.21239853,-83.35340118,33.435302,-112.005905,"American","#C42D31"
"ORD-RDU","AA",646,120451,"ORD","RDU",41.9786,-87.9048,35.87760162,-78.78749847,"American","#C42D31"
"BHM-MCO","WN",479,120336,"BHM","MCO",33.562901,-86.753502,28.42939949,-81.30899811,"Southwest","#E6A137"
"HNL-LAX","WN",2556,120125,"HNL","LAX",31.32062,-132.924228,33.942501,-118.407997,"Southwest","#E6A137"
"DEN-MKE","OO",896,120024,"DEN","MKE",39.86169815,-104.6729965,42.94720078,-87.89659882,"Skywest","#37509A"
"ORD-SEA","DL",1721,119990,"ORD","SEA",41.9786,-87.9048,47.449001,-122.308998,"Delta","#882537"
"AUS-MSY","WN",444,119986,"AUS","MSY",30.197535,-97.662015,29.99340057,-90.25800323,"Southwest","#E6A137"
"AUS-SJC","WN",1476,119961,"AUS","SJC",30.197535,-97.662015,37.362598,-121.929001,"Southwest","#E6A137"
"MCI-STL","WN",237,119945,"MCI","STL",39.2976,-94.713898,38.748697,-90.370003,"Southwest","#E6A137"
"DAL-MIA","WN",1109,119682,"DAL","MIA",32.847099,-96.851799,25.79319954,-80.29060364,"Southwest","#E6A137"
"CLE-MSP","OO",622,119475,"CLE","MSP",41.4117012,-81.84980011,44.882,-93.221802,"Skywest","#37509A"
"AUS-TPA","WN",928,119291,"AUS","TPA",30.197535,-97.662015,27.97550011,-82.53320313,"Southwest","#E6A137"
"SLC-STL","DL",1156,119272,"SLC","STL",40.785749,-111.979746,38.748697,-90.370003,"Delta","#882537"
"PHX-SFO","UA",651,119252,"PHX","SFO",33.435302,-112.005905,37.61899948,-122.375,"United","#3782CC"
"MCO-ORD","F9",1005,119198,"MCO","ORD",28.42939949,-81.30899811,41.9786,-87.9048,"Frontier","#418369"
"BNA-SRQ","WN",648,119165,"BNA","SRQ",36.12450027,-86.67819977,27.395399,-82.554398,"Southwest","#E6A137"
"DFW-JFK","AA",1391,118693,"DFW","JFK",32.896801,-97.038002,40.639801,-73.7789,"American","#C42D31"
"DAL-SEA","AS",1670,118639,"DAL","SEA",32.847099,-96.851799,47.449001,-122.308998,"Alaska","#202050"
"DEN-DSM","UA",589,118357,"DEN","DSM",39.86169815,-104.6729965,41.534,-93.663101,"United","#3782CC"
"IAH-MDW","WN",917,118331,"IAH","MDW",29.9843998,-95.34140015,41.785999,-87.752403,"Southwest","#E6A137"
"BNA-MCO","NK",616,118261,"BNA","MCO",36.12450027,-86.67819977,28.42939949,-81.30899811,"Spirit","#FDEB03"
"PHL-RSW","F9",993,118258,"PHL","RSW",39.87189865,-75.2410965,26.53619957,-81.75520325,"Frontier","#418369"
"DTW-MCI","DL",629,118196,"DTW","MCI",42.21239853,-83.35340118,39.2976,-94.713898,"Delta","#882537"
"DEN-MSO","UA",679,118144,"DEN","MSO",39.86169815,-104.6729965,46.91630173,-114.0910034,"United","#3782CC"
"IAH-ORD","AA",925,118039,"IAH","ORD",29.9843998,-95.34140015,41.9786,-87.9048,"American","#C42D31"
"ANC-BET","AS",399,117947,"ANC","BET",41.1744,-134.996002,40.77980042,-146.8379974,"Alaska","#202050"
"MSY-ORD","UA",836,117902,"MSY","ORD",29.99340057,-90.25800323,41.9786,-87.9048,"United","#3782CC"
"BDL-IAD","UA",326,117795,"BDL","IAD",41.93851,-72.688066,38.9445,-77.455803,"United","#3782CC"
"DEN-PHL","F9",1558,117711,"DEN","PHL",39.86169815,-104.6729965,39.87189865,-75.2410965,"Frontier","#418369"
"FLL-HPN","B6",1097,117670,"FLL","HPN",26.072599,-80.152702,41.06700134,-73.70760345,"Jetblue","#303E71"
"LAS-ORD","F9",1514,117639,"LAS","ORD",36.08010101,-115.1520004,41.9786,-87.9048,"Frontier","#418369"
"DEN-SEA","OO",1024,117591,"DEN","SEA",39.86169815,-104.6729965,47.449001,-122.308998,"Skywest","#37509A"
"DEN-PSP","UA",776,117558,"DEN","PSP",39.86169815,-104.6729965,33.8297,-116.507004,"United","#3782CC"
"LGA-MCO","NK",950,117508,"LGA","MCO",40.777199,-73.872597,28.42939949,-81.30899811,"Spirit","#FDEB03"
"ABQ-SLC","OO",493,117287,"ABQ","SLC",35.040199,-106.609001,40.785749,-111.979746,"Skywest","#37509A"
"JFK-RDU","B6",427,117264,"JFK","RDU",40.639801,-73.7789,35.87760162,-78.78749847,"Jetblue","#303E71"
"MCO-MSP","NK",1310,117096,"MCO","MSP",28.42939949,-81.30899811,44.882,-93.221802,"Spirit","#FDEB03"
"LGA-PBI","B6",1035,117078,"LGA","PBI",40.777199,-73.872597,26.68320084,-80.09559631,"Jetblue","#303E71"
