"pair","carrier","dist","pass","port1","port2","port1_lat","port1_lon","port2_lat","port2_lon","carrier_name","Color"
"RDU-SEA","AS",2354,108249,"RDU","SEA",35.87760162,-78.78749847,47.449001,-122.308998,"Alaska","#202050"
"CVG-LAS","F9",1678,108084,"CVG","LAS",39.048801,-84.667801,36.08010101,-115.1520004,"Frontier","#418369"
"ATL-IAH","NK",689,108074,"ATL","IAH",33.6367,-84.428101,29.9843998,-95.34140015,"Spirit","#FDEB03"
"ALB-MCO","WN",1073,107874,"ALB","MCO",42.74829865,-73.80169678,28.42939949,-81.30899811,"Southwest","#E6A137"
"MCO-SAT","WN",1041,107827,"MCO","SAT",28.42939949,-81.30899811,29.533701,-98.469803,"Southwest","#E6A137"
"ALB-CLT","AA",646,107608,"ALB","CLT",42.74829865,-73.80169678,35.2140007,-80.94309998,"American","#C42D31"
"DFW-ORD","UA",801,107598,"DFW","ORD",32.896801,-97.038002,41.9786,-87.9048,"United","#3782CC"
"LBE-MCO","NK",823,107519,"LBE","MCO",40.275902,-79.4048,28.42939949,-81.30899811,"Spirit","#FDEB03"
"DAL-PNS","WN",592,107363,"DAL","PNS",32.847099,-96.851799,30.4734,-87.1866,"Southwest","#E6A137"
"DCA-IAH","UA",1208,107234,"DCA","IAH",38.8521,-77.037697,29.9843998,-95.34140015,"United","#3782CC"
"DEN-STL","F9",770,107183,"DEN","STL",39.86169815,-104.6729965,38.748697,-90.370003,"Frontier","#418369"
"DTW-SAT","DL",1214,107177,"DTW","SAT",42.21239853,-83.35340118,29.533701,-98.469803,"Delta","#882537"
"MCO-MHT","WN",1142,107136,"MCO","MHT",28.42939949,-81.30899811,42.932598,-71.435699,"Southwest","#E6A137"
"ATL-TPA","NK",406,107064,"ATL","TPA",33.6367,-84.428101,27.97550011,-82.53320313,"Spirit","#FDEB03"
"IAD-ORF","UA",157,106979,"IAD","ORF",38.9445,-77.455803,36.8946,-76.201202,"United","#3782CC"
"CLE-IAH","UA",1091,106922,"CLE","IAH",41.4117012,-81.84980011,29.9843998,-95.34140015,"United","#3782CC"
"AUS-MCO","AA",994,106777,"AUS","MCO",30.197535,-97.662015,28.42939949,-81.30899811,"American","#C42D31"
"SLC-TPA","DL",1888,106776,"SLC","TPA",40.785749,-111.979746,27.97550011,-82.53320313,"Delta","#882537"
"HNL-OAK","HA",2409,106353,"HNL","OAK",31.32062,-132.924228,37.721298,-122.221001,"Hawaiian","#A1418E"
"OGG-PDX","AS",2562,106221,"OGG","PDX",30.898543,-131.431212,45.58869934,-122.5979996,"Alaska","#202050"
"MCO-PDX","AS",2534,106131,"MCO","PDX",28.42939949,-81.30899811,45.58869934,-122.5979996,"Alaska","#202050"
"BIL-SLC","OO",387,106109,"BIL","SLC",45.807701,-108.542999,40.785749,-111.979746,"Skywest","#37509A"
"PVD-TPA","WN",1136,106066,"PVD","TPA",41.725038,-71.425668,27.97550011,-82.53320313,"Southwest","#E6A137"
"ORD-SAT","AA",1041,106052,"ORD","SAT",41.9786,-87.9048,29.533701,-98.469803,"American","#C42D31"
"MCO-PVD","B6",1072,105726,"MCO","PVD",28.42939949,-81.30899811,41.725038,-71.425668,"Jetblue","#303E71"
"MSP-SNA","DL",1522,105675,"MSP","SNA",44.882,-93.221802,33.675701,-117.867996,"Delta","#882537"
"PHX-PSP","WN",261,105519,"PHX","PSP",33.435302,-112.005905,33.8297,-116.507004,"Southwest","#E6A137"
"SAN-STL","WN",1557,105504,"SAN","STL",32.73360062,-117.1900024,38.748697,-90.370003,"Southwest","#E6A137"
"LAS-MIA","F9",2174,105459,"LAS","MIA",36.08010101,-115.1520004,25.79319954,-80.29060364,"Frontier","#418369"
"DFW-DRO","OO",674,105403,"DFW","DRO",32.896801,-97.038002,37.1515007,-107.7539978,"Skywest","#37509A"
"DFW-KOA","AA",3724,105335,"DFW","KOA",32.896801,-97.038002,29.738783,-131.045603,"American","#C42D31"
"CLE-IAD","UA",288,105328,"CLE","IAD",41.4117012,-81.84980011,38.9445,-77.455803,"United","#3782CC"
"PSC-SEA","OO",172,105221,"PSC","SEA",46.26470184,-119.1190033,47.449001,-122.308998,"Skywest","#37509A"
"ORD-RDU","UA",646,105208,"ORD","RDU",41.9786,-87.9048,35.87760162,-78.78749847,"United","#3782CC"
"FLL-MSY","WN",674,105170,"FLL","MSY",26.072599,-80.152702,29.99340057,-90.25800323,"Southwest","#E6A137"
"IND-MSP","DL",503,104920,"IND","MSP",39.7173,-86.294403,44.882,-93.221802,"Delta","#882537"
"FLL-RDU","DL",680,104826,"FLL","RDU",26.072599,-80.152702,35.87760162,-78.78749847,"Delta","#882537"
"HNL-SJC","HA",2417,104751,"HNL","SJC",31.32062,-132.924228,37.362598,-121.929001,"Hawaiian","#A1418E"
"AUS-DEN","F9",775,104664,"AUS","DEN",30.197535,-97.662015,39.86169815,-104.6729965,"Frontier","#418369"
"DFW-ORD","NK",801,104483,"DFW","ORD",32.896801,-97.038002,41.9786,-87.9048,"Spirit","#FDEB03"
"BOI-PHX","AA",735,104263,"BOI","PHX",43.5644,-116.223,33.435302,-112.005905,"American","#C42D31"
"RNO-SFO","OO",192,104086,"RNO","SFO",39.49909973,-119.7679977,37.61899948,-122.375,"Skywest","#37509A"
"HNL-SMF","WN",2462,104037,"HNL","SMF",31.32062,-132.924228,38.69540024,-121.5910034,"Southwest","#E6A137"
"MIA-SEA","AA",2724,103969,"MIA","SEA",25.79319954,-80.29060364,47.449001,-122.308998,"American","#C42D31"
"LAS-PIT","WN",1910,103928,"LAS","PIT",36.08010101,-115.1520004,40.49150085,-80.23290253,"Southwest","#E6A137"
"LAS-SMF","F9",397,103842,"LAS","SMF",36.08010101,-115.1520004,38.69540024,-121.5910034,"Frontier","#418369"
"BNA-IAH","OO",657,103744,"BNA","IAH",36.12450027,-86.67819977,29.9843998,-95.34140015,"Skywest","#37509A"
"ANC-FAI","AS",261,103677,"ANC","FAI",41.1744,-134.996002,44.81510162,-132.8560028,"Alaska","#202050"
"MSP-PIT","OO",726,103472,"MSP","PIT",44.882,-93.221802,40.49150085,-80.23290253,"Skywest","#37509A"
"GRR-MSP","OO",408,103469,"GRR","MSP",42.88079834,-85.52279663,44.882,-93.221802,"Skywest","#37509A"
"HNL-LAS","WN",2762,103373,"HNL","LAS",31.32062,-132.924228,36.08010101,-115.1520004,"Southwest","#E6A137"
"FWA-ORD","OO",157,103371,"FWA","ORD",40.9785,-85.195099,41.9786,-87.9048,"Skywest","#37509A"
"CLT-DEN","F9",1337,103195,"CLT","DEN",35.2140007,-80.94309998,39.86169815,-104.6729965,"Frontier","#418369"
"DEN-LGA","DL",1620,103115,"DEN","LGA",39.86169815,-104.6729965,40.777199,-73.872597,"Delta","#882537"
"ATL-PHL","WN",666,103009,"ATL","PHL",33.6367,-84.428101,39.87189865,-75.2410965,"Southwest","#E6A137"
"DFW-TPA","NK",929,102945,"DFW","TPA",32.896801,-97.038002,27.97550011,-82.53320313,"Spirit","#FDEB03"
"ECP-HOU","WN",571,102918,"ECP","HOU",30.357106,-85.795414,29.645399,-95.2789,"Southwest","#E6A137"
"ATL-LEX","DL",304,102885,"ATL","LEX",33.6367,-84.428101,38.036499,-84.605904,"Delta","#882537"
"DEN-IAH","NK",862,102839,"DEN","IAH",39.86169815,-104.6729965,29.9843998,-95.34140015,"Spirit","#FDEB03"
"DEN-FAR","OO",627,102826,"DEN","FAR",39.86169815,-104.6729965,46.92070007,-96.81580353,"Skywest","#37509A"
"OGG-SAN","AS",2541,102632,"OGG","SAN",30.898543,-131.431212,32.73360062,-117.1900024,"Alaska","#202050"
"LGA-MCO","F9",950,102609,"LGA","MCO",40.777199,-73.872597,28.42939949,-81.30899811,"Frontier","#418369"
"ORD-ORF","UA",717,102550,"ORD","ORF",41.9786,-87.9048,36.8946,-76.201202,"United","#3782CC"
"MCO-SDF","WN",719,102455,"MCO","SDF",28.42939949,-81.30899811,38.1744,-85.736,"Southwest","#E6A137"
"FLG-PHX","OO",119,102389,"FLG","PHX",35.1385,-111.670998,33.435302,-112.005905,"Skywest","#37509A"
"CLT-HNL","AA",4678,102340,"CLT","HNL",35.2140007,-80.94309998,31.32062,-132.924228,"American","#C42D31"
"ATL-PHL","NK",666,102023,"ATL","PHL",33.6367,-84.428101,39.87189865,-75.2410965,"Spirit","#FDEB03"
"EUG-SEA","OO",234,101896,"EUG","SEA",44.12459946,-123.211998,47.449001,-122.308998,"Skywest","#37509A"
"ATL-ORD","UA",606,101892,"ATL","ORD",33.6367,-84.428101,41.9786,-87.9048,"United","#3782CC"
"BZN-ORD","UA",1186,101808,"BZN","ORD",45.77750015,-111.1529999,41.9786,-87.9048,"United","#3782CC"
"BNA-ORD","UA",409,101670,"BNA","ORD",36.12450027,-86.67819977,41.9786,-87.9048,"United","#3782CC"
"ONT-SEA","OO",956,101659,"ONT","SEA",34.05599976,-117.6009979,47.449001,-122.308998,"Skywest","#37509A"
"FLL-IND","NK",1005,101545,"FLL","IND",26.072599,-80.152702,39.7173,-86.294403,"Spirit","#FDEB03"
"IAH-LAX","DL",1379,101297,"IAH","LAX",29.9843998,-95.34140015,33.942501,-118.407997,"Delta","#882537"
"LAS-SNA","F9",226,101123,"LAS","SNA",36.08010101,-115.1520004,33.675701,-117.867996,"Frontier","#418369"
"BOS-MCO","F9",1121,101075,"BOS","MCO",42.3643,-71.005203,28.42939949,-81.30899811,"Frontier","#418369"
"IAD-SEA","UA",2306,100896,"IAD","SEA",38.9445,-77.455803,47.449001,-122.308998,"United","#3782CC"
"PHX-PSP","OO",261,100843,"PHX","PSP",33.435302,-112.005905,33.8297,-116.507004,"Skywest","#37509A"
"FLL-SLC","DL",2084,100698,"FLL","SLC",26.072599,-80.152702,40.785749,-111.979746,"Delta","#882537"
"BDL-MYR","NK",664,100657,"BDL","MYR",41.93851,-72.688066,33.67969894,-78.92829895,"Spirit","#FDEB03"
"HNL-MSP","DL",3972,100641,"HNL","MSP",31.32062,-132.924228,44.882,-93.221802,"Delta","#882537"
"AUS-ELP","WN",528,100631,"AUS","ELP",30.197535,-97.662015,31.80719948,-106.3779984,"Southwest","#E6A137"
"ABQ-SEA","AS",1180,100530,"ABQ","SEA",35.040199,-106.609001,47.449001,-122.308998,"Alaska","#202050"
"RDU-TPA","DL",587,100448,"RDU","TPA",35.87760162,-78.78749847,27.97550011,-82.53320313,"Delta","#882537"
"HNL-LGB","HA",2569,100340,"HNL","LGB",31.32062,-132.924228,33.817699,-118.152,"Hawaiian","#A1418E"
"CLE-MIA","AA",1080,100337,"CLE","MIA",41.4117012,-81.84980011,25.79319954,-80.29060364,"American","#C42D31"
"IAH-ORD","NK",925,100216,"IAH","ORD",29.9843998,-95.34140015,41.9786,-87.9048,"Spirit","#FDEB03"
"DCA-SLC","DL",1851,100165,"DCA","SLC",38.8521,-77.037697,40.785749,-111.979746,"Delta","#882537"
"AUS-FLL","NK",1105,100059,"AUS","FLL",30.197535,-97.662015,26.072599,-80.152702,"Spirit","#FDEB03"
