"city1","city2","nsmiles","passengers_sum","fare_mean","carrier_lg","fare_lg","carrier_low","fare_low","fare_other","port1_lat","port1_lon","port2_lat","port2_lon"
"Atlanta, GA","Kansas City, MO",692,2148,179.003496275605,"DL",186.580651769088,"WN",160.010251396648,182.970813732121,33.6367,-84.428101,39.2976,-94.713898
"Atlanta, GA","Las Vegas, NV",1747,9095,203.948595931831,"DL",240.767717427158,"WN",122.544383727323,158.760880491093,33.6367,-84.428101,36.08010101,-115.1520004
"Atlanta, GA","Los Angeles, CA",1947,12216,256.348395546824,"DL",305.256958087754,"NK",126.929020956123,203.896243787786,33.6367,-84.428101,33.942501,-118.407997
"Atlanta, GA","Louisville, KY",321,851,164.933525264395,"DL",172.539236192714,"WN",126.643889541716,170.74166658994,33.6367,-84.428101,38.22800064,-85.66369629
"Atlanta, GA","Memphis, TN",332,1324,156.17501510574,"DL",165.134312688822,"WN",120.151503021148,161.667210869053,33.6367,-84.428101,35.04240036,-89.97669983
"Atlanta, GA","Miami, FL",594,15456,132.09064699793,"DL",145.929539337474,"WN",113.132928959627,113.407449550106,33.6367,-84.428101,25.79319954,-80.29060364
"Atlanta, GA","Milwaukee, WI",669,1489,177.942800537273,"DL",186.10157824043,"WN",147.272424445937,176.019174256573,33.6367,-84.428101,42.94720078,-87.89659882
"Atlanta, GA","Minneapolis/St. Paul, MN",907,3221,203.697463520646,"DL",219.464824588637,"NK",91.1900465693884,163.021456017226,33.6367,-84.428101,44.93450165,-93.05999756
"Atlanta, GA","Nashville, TN",214,1022,159.850381604697,"DL",168.439050880626,"WN",132.394843444227,172.381928571424,33.6367,-84.428101,36.12450027,-86.67819977
"Atlanta, GA","New Orleans, LA",425,2966,143.252801753203,"DL",159.978506405934,"WN",121.445900202293,88.257871471833,33.6367,-84.428101,29.99340057,-90.25800323
"Atlanta, GA","New York City, NY",795,21496,173.19235532192,"DL",194.212135280983,"WN",132.406931056941,142.491688139281,33.6367,-84.428101,40.639801,-73.7789
"Atlanta, GA","Norfolk, VA",516,1296,197.867793209877,"DL",200.384683641975,"WN",187.262708333333,173.647401559478,33.6367,-84.428101,36.8946,-76.201202
"Atlanta, GA","Oklahoma City, OK",761,861,201.411777003484,"DL",212.722171893148,"WN",167.004738675958,203.428909555543,33.6367,-84.428101,35.393101,-97.6007
"Atlanta, GA","Orlando, FL",404,6539,136.779371463527,"DL",151.548779629913,"WN",114.938441657746,90.2398575904768,33.6367,-84.428101,28.42939949,-81.30899811
"Atlanta, GA","Philadelphia, PA",666,6207,146.204322539069,"DL",164.947961978411,"WN",113.157071048816,124.451504899794,33.6367,-84.428101,39.87189865,-75.2410965
"Atlanta, GA","Phoenix, AZ",1587,4063,228.491006645336,"DL",260.121875461482,"WN",192.351314299778,189.866589771419,33.6367,-84.428101,33.435302,-112.005905
"Atlanta, GA","Pittsburgh, PA",526,1831,181.935417804478,"DL",191.425068268706,"WN",142.090125614418,198.062105952901,33.6367,-84.428101,40.49150085,-80.23290253
"Atlanta, GA","Portland, OR",2172,1216,325.499605263158,"DL",349.881101973684,"F9",124.223667763158,264.621955599248,33.6367,-84.428101,45.58869934,-122.5979996
"Atlanta, GA","Raleigh/Durham, NC",356,2619,153.576960672012,"DL",159.860068728522,"WN",106.89470790378,129.297058088437,33.6367,-84.428101,35.87760162,-78.78749847
"Atlanta, GA","Richmond, VA",481,2190,151.105726027397,"DL",160.369136986301,"WN",116.076698630137,160.201108388974,33.6367,-84.428101,37.50519943,-77.31970215
"Atlanta, GA","Sacramento, CA",2092,1196,318.929113712375,"DL",356.844648829431,"WN",261.517065217391,236.225565212241,33.6367,-84.428101,38.69540024,-121.5910034
